product_name,gds_lclsf_cd,gds_lclsf_nm,gds_mclsf_cd,gds_mclsf_nm,gds_sclsf_cd,gds_sclsf_nm,match_keyword,match_note
사과,06,과실류,01,사과,00,사과,사과,
망고,06,과실류,36,망고,01,망고(일반),망고,
오이,09,과채류,01,오이,00,오이(일반),오이,
블루베리,06,과실류,59,블루베리,01,블루베리(일반),블루베리,
수박,08,과일과채류,01,수박,01,수박(일반),수박,
오렌지,06,과실류,18,오렌지,00,오렌지(일반),오렌지,
비파,06,과실류,41,비파,01,비파(일반),비파,
계란,47,기타동물생산물,02,조란,10,계란,계란,
천혜향,06,과실류,15,만감,07,천혜향,천혜향,
꽃게,93,수산가공,02,조미가공,08,꽃게,꽃게,
토마토,08,과일과채류,03,토마토,01,토마토(일반),토마토,
아몬드,06,과실류,31,아몬드,01,아몬드(일반),아몬드,
장어,61,활 해면어류,59,장어,98,장어(수입),장어,
냉동블루베리,06,과실류,59,블루베리,01,블루베리(일반),블루베리,
오징어,89,건제품,22,오징어,01,오징어(일반),오징어,
쭈꾸미,64,활 해면연체류,07,쭈꾸미,01,쭈꾸미,쭈꾸미,
전복,89,건제품,40,전복,01,전복(일반),전복,
쌀,01,미곡류,03,쌀,14,쌀(쇄미),쌀,
참외10kg,08,과일과채류,02,참외,00,참외(일반),참외,
호두,07,수실류,04,호두,01,호두(일반),호두,
당근,11,근채류,03,당근,01,당근(일반),당근,
병아리콩,03,두류,10,병아리콩,01,병아리콩(일반),병아리콩,
누룽지,91,농림가공,10,기타식품,19,누룽지,누룽지,
고구마,05,서류,02,고구마,00,고구마(일반),고구마,
암꽃게,63,활 해면갑각류,02,게,06,암꽃게,암꽃게,
카라향,06,과실류,15,만감,11,카라향,카라향,
열무김치,91,농림가공,04,절임식품,08,열무김치,열무김치,
햇감자,05,서류,01,감자,00,감자(일반),감자,
들기름,91,농림가공,05,유지,02,들기름,들기름,
매실,06,과실류,25,매실,01,매실(일반),매실,
아보카도,06,과실류,34,아보카도,01,아보카도(일반),아보카도,
참기름,91,농림가공,05,유지,01,참기름,참기름,
취나물,14,산채류,01,취나물,01,취나물(일반),취나물,
자두,06,과실류,08,자두,00,자두,자두,
갑오징어,64,활 해면연체류,01,갑오징어,98,갑오징어(수입),갑오징어,
산딸기,08,과일과채류,04,딸기,09,산딸기,산딸기,
단호박,09,과채류,02,호박,05,단호박,단호박,
딸기,08,과일과채류,04,딸기,00,딸기(일반),딸기,
바지락,89,건제품,37,바지락,01,바지락(일반),바지락,
두릅,14,산채류,03,두릅,01,두릅(일반),두릅,
새조개,62,활 해면패류,10,조개,07,새조개,새조개,
꿀,47,기타동물생산물,03,꿀벌,98,꿀(수입),꿀,
키위,06,과실류,11,참다래(키위),98,키위(수입),키위,
문어,64,활 해면연체류,04,문어,98,문어(수입),문어,
복숭아,06,과실류,04,복숭아,00,복숭아(일반),복숭아,
찹쌀떡,91,농림가공,07,곡물제조,13,찹쌀떡,찹쌀떡,
한우,41,생축(가축)류,21,한우,01,한우(암),한우,
양파,12,조미채소류,01,양파,01,양파(일반),양파,
쌀20kg,01,미곡류,03,쌀,14,쌀(쇄미),쌀,
마늘쫑,12,조미채소류,09,마늘,07,마늘쫑,마늘쫑,
쌀10kg,01,미곡류,03,쌀,14,쌀(쇄미),쌀,
참외,08,과일과채류,02,참외,00,참외(일반),참외,
감자,05,서류,01,감자,00,감자(일반),감자,
