product_name,gds_lclsf_cd,gds_lclsf_nm,gds_mclsf_cd,gds_mclsf_nm,gds_sclsf_cd,gds_sclsf_nm,match_keyword,match_note
감자,05,서류,01,감자,00,감자(일반),감자,
매실,06,과실류,25,매실,01,매실(일반),매실,
꽃게,93,수산가공,02,조미가공,08,꽃게,꽃게,
망고,06,과실류,36,망고,01,망고(일반),망고,
계란,47,기타동물생산물,02,조란,10,계란,계란,
오렌지,06,과실류,18,오렌지,00,오렌지(일반),오렌지,
병아리콩,03,두류,10,병아리콩,01,병아리콩(일반),병아리콩,
오이,09,과채류,01,오이,00,오이(일반),오이,
냉동블루베리,06,과실류,59,블루베리,01,블루베리(일반),블루베리,
체리,06,과실류,57,체리,01,체리(일반),체리,
카라향,06,과실류,15,만감,11,카라향,카라향,
미숫가루,91,농림가공,06,전분 및 사료제조,15,미숫가루,미숫가루,
토마토,08,과일과채류,03,토마토,01,토마토(일반),토마토,
고구마,05,서류,02,고구마,00,고구마(일반),고구마,
열무김치,91,농림가공,04,절임식품,08,열무김치,열무김치,
아몬드,06,과실류,31,아몬드,01,아몬드(일반),아몬드,
당근,11,근채류,03,당근,01,당근(일반),당근,
땅콩,16,특용작물류,03,땅콩,01,땅콩(일반),땅콩,
산딸기,08,과일과채류,04,딸기,09,산딸기,산딸기,
전복,89,건제품,40,전복,01,전복(일반),전복,
암꽃게,63,활 해면갑각류,02,게,06,암꽃게,암꽃게,
구기자,19,약용작물류,28,구기자,01,구기자(일반),구기자,
양파,12,조미채소류,01,양파,01,양파(일반),양파,
호두,07,수실류,04,호두,01,호두(일반),호두,
갑오징어,64,활 해면연체류,01,갑오징어,98,갑오징어(수입),갑오징어,
방울토마토,08,과일과채류,06,방울토마토,01,방울토마토(일반),방울토마토,
복숭아,06,과실류,04,복숭아,00,복숭아(일반),복숭아,
무늬오징어,64,활 해면연체류,01,갑오징어,01,무늬오징어,무늬오징어,
옥수수,04,잡곡류,01,옥수수,00,옥수수(일반),옥수수,
들기름,91,농림가공,05,유지,02,들기름,들기름,
다슬기,67,활 내수면기타,09,다슬기,01,다슬기(일반),다슬기,
아카시아꿀,47,기타동물생산물,03,꿀벌,21,아카시아꿀,아카시아꿀,
참기름,91,농림가공,05,유지,01,참기름,참기름,
쌀,01,미곡류,03,쌀,14,쌀(쇄미),쌀,
딸기,08,과일과채류,04,딸기,00,딸기(일반),딸기,
대게,63,활 해면갑각류,02,게,01,대게,대게,
아스파라거스,26,관엽식물류,28,아스파라거스,01,아스파라거스(일반),아스파라거스,
누룽지,91,농림가공,10,기타식품,19,누룽지,누룽지,
쌀20kg,01,미곡류,03,쌀,14,쌀(쇄미),쌀,
쌀10kg,01,미곡류,03,쌀,14,쌀(쇄미),쌀,
참외,08,과일과채류,02,참외,00,참외(일반),참외,
마늘쫑,12,조미채소류,09,마늘,07,마늘쫑,마늘쫑,
참외10kg,08,과일과채류,02,참외,00,참외(일반),참외,
수박,08,과일과채류,01,수박,01,수박(일반),수박,
사과,06,과실류,01,사과,00,사과,사과,
블루베리,06,과실류,59,블루베리,01,블루베리(일반),블루베리,
